score_momento,cnpj_basico,cnpj,razao_social,na_base_mestre,STATUS_RELACIONAMENTO_REAL,Porte,CNAE PRIMARIO,tipo_sinal,descricao,papel,qualificacao,qualificacao_desc,municipio,bairro,area_total,unidade_medida,data_evento,data_publicacao,idade_dias,peso,validade_dias,cno,fonte
0.0,12618959,12618959000174,E A F CONSTRUCOES LTDA,True,Sem relacionamento,PEQUENO PORTE,Construcao de edificios,obra_nova,"E A F CONSTRUCOES LTDA — Marechal Deodoro, 386 m2 (dono da obra, responsável)",responsável,0057,Dono da obra,MARECHAL DEODORO,ILHA DE SANTA RITA,385.69,m2,2026-05-27,2026-08-04,121,3.0,120,900298777570,CNO / Receita Federal
0.0,59589569,59589569000187,VILLA TERRUA SPE LTDA,True,Sem relacionamento,DEMAIS,Incorporacao de empreendimentos imobiliarios,obra_nova,"VILLA TERRUA SPE LTDA — Porto De Pedras, 668 m2 (proprietário do imóvel, responsável)",responsável,0070,Proprietário do imóvel,PORTO DE PEDRAS,DISTRITO DE TATUAMUNHA,668.13,m2,2026-04-23,2026-08-06,155,3.0,120,900299213279,CNO / Receita Federal
0.0,39808835,39808835000108,SOLUCAO CONSTRUCOES E SERVICOS LTDA,True,Somente SENAI,DEMAIS,Servicos de engenharia,obra_nova,"SOLUCAO CONSTRUCOES E SERVICOS LTDA — Atalaia, 60.000 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,ATALAIA,VILA JOSÉ PAULINO,60000.0,m2,2026-05-18,2026-08-25,130,5.0,120,900302018179,CNO / Receita Federal
0.0,43467841,43467841000116,RODCON SERVICOS UNIPESSOAL LTDA,True,Sem relacionamento,MICRO EMPRESA,Servicos de engenharia,obra_nova,"RODCON SERVICOS UNIPESSOAL LTDA — Joaquim Gomes, 844 m2 (dono da obra, responsável)",responsável,0057,Dono da obra,JOAQUIM GOMES,BR 101,843.89,m2,2026-05-20,2026-07-30,128,3.0,120,900298227476,CNO / Receita Federal
0.0,43467841,43467841000116,RODCON SERVICOS UNIPESSOAL LTDA,True,Sem relacionamento,MICRO EMPRESA,Servicos de engenharia,obra_nova,"RODCON SERVICOS UNIPESSOAL LTDA — São Sebastião, 287 m2 (dono da obra, responsável)",responsável,0057,Dono da obra,SÃO SEBASTIÃO,SAO SEBASTIAO,286.98,m2,2026-05-20,2026-07-30,128,3.0,120,900298230176,CNO / Receita Federal
0.0,12342655,12342655000127,(sem nome no CNO) CNPJ 12342655000127,False,,,,obra_nova,"CONSTRUÇÃO DE RETOMADA DA UNIDADE BÁSICA DE SAÚDE — Passo De Camaragibe, 0 Outra (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,PASSO DE CAMARAGIBE,CENTRO,0.01,Outra,2026-05-28,2026-08-11,120,3.0,120,900299761073,CNO / Receita Federal
0.0,08298136,08298136000131,R M K F CONSTRUCOES E PROJETOS LTDA,False,,,,obra_nova,"LOTE 1- ESCOLA MUNICIPAL DE EDUCAÇÃO BÁSICA JOSÉ CORREIA DOS SANTOS — Delmiro Gouveia, 1.402 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,DELMIRO GOUVEIA,ZONA RURAL,1401.53,m2,2026-05-06,2026-05-13,142,4.0,120,900285647072,CNO / Receita Federal
0.0,33765202,33765202000183,J A S SERVICOS E LOCACOES LTDA,False,,,,obra_nova,"Serviços de Perfuração e Instalação de Poços Tubulares no Município de Igaci - PE — Igaci, 19 Outra (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,IGACI,DIVERSOS,19.0,Outra,2026-04-28,2026-05-13,150,3.0,120,900285700172,CNO / Receita Federal
0.0,13829465,13829465000100,A J PROJETOS E CONSTRUCOES LTDA,False,,,,obra_nova,"A J PROJETOS E CONSTRUCOES LTDA — São Miguel Dos Campos, 107 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,SÃO MIGUEL DOS CAMPOS,LOTEAMENTO CANTO DA SAUDADE,106.58,m2,2026-05-18,2026-05-18,130,3.0,120,900286224374,CNO / Receita Federal
0.0,05786268,05786268000114,CRITERIO ENGENHARIA - EM RECUPERACAO JUDICIAL LTDA,True,Sem relacionamento,PEQUENO PORTE,Construcao de edificios,obra_nova,"UNIDADE BÁSICA DE SAÚDE (UBS) PENEDO/AL — Penedo, 780 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,PENEDO,ZONA URBANA,779.56,m2,2026-05-08,2026-05-19,140,3.0,120,900286314871,CNO / Receita Federal
0.0,51393615,51393615000166,LN CONSTRUCOES E SERVICOS LTDA,True,Sem relacionamento,PEQUENO PORTE,Outras obras de engenharia civil nao especificadas anteriormente,obra_nova,"MANUTENÇÃO DA ESCOLA CAPITÃO DOMINGOS — Dois Riachos, 403 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,DOIS RIACHOS,Zona Rural,403.41,m2,2026-04-09,2026-05-19,169,3.0,120,900286497273,CNO / Receita Federal
0.0,51393615,51393615000166,LN CONSTRUCOES E SERVICOS LTDA,True,Sem relacionamento,PEQUENO PORTE,Outras obras de engenharia civil nao especificadas anteriormente,obra_nova,"MANUTENÇÃO DA ESCOLA MIGUEL VIEIRA — Dois Riachos, 302 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,DOIS RIACHOS,CENTRO,302.42,m2,2026-04-09,2026-05-19,169,3.0,120,900286499870,CNO / Receita Federal
0.0,11159179,11159179000140,L T CONSTRUTORA LTDA,True,Sem relacionamento,PEQUENO PORTE,Construcao de edificios,obra_nova,"L T CONSTRUTORA LTDA — Coruripe, 179 m2 (dono da obra, responsável)",responsável,0057,Dono da obra,CORURIPE,DISTRITO DO PONTAL DE CORURIPE,179.19,m2,2026-05-01,2026-05-21,147,3.0,120,900286782375,CNO / Receita Federal
0.0,07109019,07109019000110,JK LOCACOES CONSTRUCOES E TRANSQUIMICA LTDA,False,,,,obra_nova,"JK LOCACOES CONSTRUCOES E TRANSQUIMICA LTDA — Maceió, 90.772 m3 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,MACEIÓ,CENTRO,90772.5,m3,2026-05-11,2026-05-21,137,5.0,120,900286899477,CNO / Receita Federal
0.0,28249661,28249661000174,MOURACO DISTRIBUIDORA DE MATERIAIS DE CONSTRUCAO LTDA,False,,,,obra_nova,"MOURACO DISTRIBUIDORA DE MATERIAIS DE CONSTRUCAO LTDA — Palmeira Dos Índios, 1.200 m2 (proprietário do imóvel, responsável)",responsável,0070,Proprietário do imóvel,PALMEIRA DOS ÍNDIOS,SONHO VERDE,1200.0,m2,2026-04-01,2026-05-25,177,4.0,120,900287364272,CNO / Receita Federal
0.0,49606655,49606655000105,"GRUPO RZ - ARQUITETURA, ENGENHARIA E CONSTRUCAO LTDA",True,Sem relacionamento,PEQUENO PORTE,Servicos de engenharia,obra_nova,"Reforma, ampliação e adequação de acessibilidade no prédio da sede administrativa e Superintendência — Maceió, 1.297 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,MACEIÓ,PAJUCARA,1297.18,m2,2026-05-11,2026-05-25,137,4.0,120,900287367773,CNO / Receita Federal
0.0,04234822,04234822000198,ALICERCE CONSTRUTORA LTDA,True,Sem relacionamento,PEQUENO PORTE,Construcao de edificios,obra_nova,"ALICERCE CONSTRUTORA LTDA — Anadia, 550 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,ANADIA,CENTRO,550.01,m2,2026-04-02,2026-05-25,176,3.0,120,900287396572,CNO / Receita Federal
0.0,56379643,56379643000142,GL INVESTIMENTOS E PARTICIPACOES LTDA,False,,,,obra_nova,"GL INVESTIMENTOS E PARTICIPACOES LTDA — Passo De Camaragibe, 294 m2 (dono da obra, responsável)",responsável,0057,Dono da obra,PASSO DE CAMARAGIBE,LOTEAMENTO RESERVA PORANGATU,293.84,m2,2026-05-18,2026-05-26,130,3.0,120,900287435175,CNO / Receita Federal
0.0,66535382,66535382000166,ALTO DO FAROL EMPREENDIMENTO IMOBILIARIO SPE LTDA,False,,,,obra_nova,"ALTO DO FAROL EMPREENDIMENTO IMOBILIARIO SPE LTDA — Maceió, 5.706 m2 (dono da obra, responsável)",responsável,0057,Dono da obra,MACEIÓ,PITANGUINHA,5705.9,m2,2026-05-26,2026-05-26,122,5.0,120,900287468677,CNO / Receita Federal
0.0,00338885,00338885000990,NOVATEC CONSTRUCOES E EMPREENDIMENTOS LTDA,True,Sem relacionamento,DEMAIS,Construcao de rodovias e ferrovias,obra_nova,"AL - NOV PMFG 001/26 PAV NOVO ACESSO RODOVIÁRIO FEIRA GRANDE — Feira Grande, 7.405 Outra (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,FEIRA GRANDE,SEM BAIRRO,7404.81,Outra,2026-05-25,2026-05-28,123,5.0,120,900287872174,CNO / Receita Federal
0.0,35335154,35335154000119,DBN - DEBONI SISTEMAS CONSTRUTIVOS LTDA,True,Sem relacionamento,DEMAIS,Construcao de edificios,obra_nova,"DBN-DEBONI SIST CONST LTDA-CENTRAL INTEGRADA DA MULHER — Maceió, 329 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,MACEIÓ,BENEDITO BENTES,328.77,m2,2026-05-18,2026-05-28,130,3.0,120,900287917074,CNO / Receita Federal
0.0,35335154,35335154000119,DBN - DEBONI SISTEMAS CONSTRUTIVOS LTDA,True,Sem relacionamento,DEMAIS,Construcao de edificios,obra_nova,"DBN - DEBONI SIST CONST LTDA-CRECHE CRIA-BELO MONTE — Belo Monte, 811 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,BELO MONTE,ZONA RURAL,811.46,m2,2026-05-19,2026-05-28,129,3.0,120,900287918470,CNO / Receita Federal
0.0,12200275,12200275000158,(sem nome no CNO) CNPJ 12200275000158,False,,,,obra_nova,"LC ENGENHARIA E EMPREENDIMENTOS LTDA — Marechal Deodoro, 2.426 Outra (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,MARECHAL DEODORO,ESTIVAS,2426.48,Outra,2026-05-15,2026-08-18,133,4.0,120,900300946272,CNO / Receita Federal
